Indent number,x-coord,y-coord,Load,Hardness
1,0,0,300,159
2,0,270,300,163
3,0,800,300,160
4,0,1330,300,164
5,0,1590,300,164
6,0,1860,300,177
7,0,2120,300,168
8,0,2390,300,173
9,0,2650,300,158
10,0,2920,300,173
11,0,3190,300,177
12,0,3450,300,167
13,0,4250,300,184
14,270,0,300,153
15,270,270,300,188
16,270,530,300,165
17,270,800,300,179
18,270,1060,300,166
19,270,1330,300,164
20,270,1590,300,173
21,270,1860,300,168
22,270,2120,300,174
23,270,2390,300,170
24,270,2660,300,176
25,270,2920,300,173
26,270,3190,300,166
27,270,3450,300,167
28,270,3720,300,179
29,270,3980,300,179
30,270,4250,300,186
31,270,4510,300,185
32,270,4780,300,186
33,270,5040,300,171
34,270,5320,300,214
35,270,5580,300,196
36,270,5840,300,191
37,270,6110,300,182
38,270,6370,300,221
39,530,-260,300,169
40,530,0,300,155
41,530,270,300,165
42,530,530,300,169
43,530,800,300,172
44,530,1060,300,171
45,530,1330,300,163
46,530,1590,300,169
47,530,1860,300,164
48,530,2130,300,167
49,530,2390,300,173
50,530,2660,300,168
51,530,2920,300,175
52,530,3190,300,173
53,530,3450,300,175
54,530,3720,300,178
55,530,3980,300,172
56,530,4250,300,167
57,530,4510,300,167
58,530,4780,300,186
59,530,5050,300,174
60,530,5310,300,183
61,530,5580,300,181
62,530,5840,300,196
63,530,6110,300,194
64,530,6370,300,206
65,530,6900,300,184
66,530,7170,300,200
67,530,7430,300,205
68,530,7700,300,188
69,790,4250,300,171
70,800,0,300,172
71,800,270,300,165
72,800,530,300,167
73,800,800,300,179
74,800,1060,300,161
75,800,1330,300,174
76,800,1590,300,164
77,800,1860,300,174
78,800,2130,300,177
79,800,2390,300,172
80,800,2660,300,161
81,800,2920,300,163
82,800,3190,300,163
83,800,3450,300,165
84,800,3720,300,169
85,800,3980,300,175
86,800,4510,300,182
87,800,4780,300,177
88,800,5050,300,183
89,800,5310,300,184
90,800,5580,300,180
91,800,5840,300,172
92,800,6110,300,196
93,800,6370,300,202
94,800,6640,300,207
95,800,6900,300,181
96,800,7170,300,186
97,800,7430,300,211
98,800,7700,300,221
99,800,7970,300,216
100,1060,0,300,177
101,1060,270,300,159
102,1060,530,300,167
103,1060,800,300,166
104,1060,1060,300,168
105,1060,1330,300,165
106,1060,1590,300,161
107,1060,1860,300,160
108,1060,2130,300,156
109,1060,2390,300,158
110,1060,2660,300,171
111,1060,2920,300,166
